country_code,region_name,iata,icao,airport
AE,Abu Zaby,AAN,OMAL,Al Ain International Airport
AE,Abu Zaby,AUH,OMAA,Abu Dhabi International Airport
AE,Abu Zaby,AYM,,Yas Island Seaplane Base
AE,Abu Zaby,AZI,OMAD,Al Bateen Executive Airport
AE,Abu Zaby,DHF,OMAM,Al Dhafra Air Base
AE,Abu Zaby,XSB,OMBY,Sir Bani Yas Airport
AE,Abu Zaby,ZDY,OMDL,Dalma Airport
AE,Al Fujayrah,FJR,OMFJ,Fujairah International Airport
AE,Ash Shariqah,SHJ,OMSJ,Sharjah International Airport
AE,Dubayy,DCG,,Dubai Creek Seaplane Base
AE,Dubayy,DJH,,Jebel Ali Seaplane Base
AE,Dubayy,DWC,OMDW,Al Maktoum International Airport
AE,Dubayy,DXB,OMDB,Dubai International Airport
AE,Dubayy,NHD,OMDM,Al Minhad Air Base
AE,Ra's al Khaymah,RHR,,Al Hamra Seaplane Base
AE,Ra's al Khaymah,RKT,OMRK,Ras Al Khaimah International Airport
AF,Badakhshan,DAZ,OADZ,Darwaz Airport
AF,Badakhshan,FBD,OAFZ,Fayzabad Airport
AF,Badakhshan,KUR,OARZ,Razer Airport
AF,Badakhshan,KWH,OAHN,Khwahan Airport
AF,Badakhshan,SGA,OASN,Sheghnan Airport
AF,Badghis,LQN,OAQN,Qala i Naw Airport
AF,Balkh,MZR,OAMS,Mazar-e Sharif International Airport
AF,Bamyan,BIN,OABN,Bamyan Airport
AF,Farah,FAH,OAFR,Farah Airport
AF,Faryab,MMZ,OAMN,Maymana Airport
AF,Ghazni,GZI,OAGN,Ghazni Airport
AF,Ghazni,SBF,OADS,Sardeh Band Airport
AF,Ghor,CCN,OACC,Chaghcharan Airport
AF,Helmand,BST,OABT,Bost Airport
AF,Helmand,DWR,OADY,Dwyer Airport
AF,Helmand,OAZ,OAZI,Camp Bastion Air Base
AF,Herat,HEA,OAHR,Herat International Airport
AF,Herat,OAH,OASD,Shindand Air Base
AF,Herat,ZAJ,OAZJ,Zaranj Airport
AF,Kabul,GRG,OAGZ,Gardez Airport
AF,Kabul,KBL,OAKB,Kabul International Airport
AF,Kandahar,KDH,OAKN,Kandahar International Airport
AF,Kandahar,TII,OATN,Tarinkot Airport
AF,Kandahar,URZ,OARG,Uruzgan Airport
